sequence_number,total_time_millis,step_time_millis,voltage,current,power,step_amp_hours,step_charged_amp_hours,step_discharged_amp_hours,step_watt_hours,step_charged_watt_hours,step_discharged_watt_hours,total_cycle,step_number,step_type,step_id,cycler_type,observed_at
273,1338691,80127,0.9616503,0.2000033,0.19233323344599,0.004451290000000004,0.004451010000000002,2.800000000018066e-7,0.0033197899999999995,0.0033196399999999987,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:40.482000000
274,1343700,85136,0.9882912,0.2000036,0.19766179784832,0.004727250000000002,0.0047269700000000005,2.800000000018066e-7,0.003588890000000001,0.00358874,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:45.490800000
275,1348707,90143,1.014863,0.2000033,0.2029759490479,0.005006330000000003,0.0050060500000000015,2.800000000018066e-7,0.0038684700000000023,0.0038683200000000015,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:50.497900000
276,1353710,95146,1.041411,0.200003,0.208285324233,0.005282020000000002,0.00528174,2.800000000018066e-7,0.0041519500000000015,0.004151800000000001,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:36:55.501100000
277,1358714,100150,1.067919,0.200003,0.213587003757,0.005560710000000003,0.005560430000000002,2.800000000018066e-7,0.004445859999999999,0.0044457099999999986,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:37:00.505200000
278,1363718,105153,1.094334,0.200003,0.21887008300199998,0.005841640000000002,0.00584136,2.800000000018066e-7,0.0047496199999999995,0.004749469999999999,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:37:05.508400000
279,1368722,110158,1.120679,0.200002,0.224138041358,0.006119200000000002,0.00611892,2.800000000018066e-7,0.00505711,0.005056959999999999,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:37:10.513200000
280,1373731,115166,1.147028,0.2000031,0.22940915578679996,0.006393840000000001,0.0063935599999999995,2.800000000018066e-7,0.00536853,0.005368379999999999,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:37:15.521700000
281,1378567,120003,1.172319,0.2000034,0.23446778588460002,0.006666380000000003,0.006666100000000001,2.800000000018066e-7,0.00568461,0.005684459999999999,1.500000000008439e-7,4,16,CC_Chg,7,arbin,2021-04-21T17:37:20.357800000
282,1383593,5001,1.136296,-0.2000012,-0.2272605635552,0.00027429999999999816,6.89999999997637e-7,0.0002736100000000005,0.00031567000000000053,8.000000000021878e-7,0.00031486999999999835,4,17,CC_DChg,8,arbin,2021-04-21T17:37:25.384200000
283,1388601,10009,1.107837,-0.2000013,-0.2215688401881,0.0005539699999999974,6.89999999997637e-7,0.0005532799999999997,0.0006294800000000017,8.000000000021878e-7,0.0006286799999999995,4,17,CC_DChg,8,arbin,2021-04-21T17:37:30.391400000
284,1393602,15010,1.079724,-0.2000007,-0.21594555580679997,0.0008289999999999999,6.89999999997637e-7,0.0008283100000000022,0.000930300000000002,8.000000000021878e-7,0.0009294999999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:37:35.393000000
285,1398606,20014,1.051885,-0.1999997,-0.2103766844345,0.0011117599999999998,6.89999999997637e-7,0.0011110700000000022,0.0012316800000000024,8.000000000021878e-7,0.0012308800000000002,4,17,CC_DChg,8,arbin,2021-04-21T17:37:40.396900000
286,1403615,25023,1.024163,-0.2000004,-0.2048330096652,0.0013649500000000002,6.89999999997637e-7,0.0013642600000000026,0.0014947200000000015,8.000000000021878e-7,0.0014939199999999993,4,17,CC_DChg,8,arbin,2021-04-21T17:37:45.405400000
287,1408622,30030,0.996675,-0.2,-0.199335,0.0016664799999999945,6.89999999997637e-7,0.0016657899999999969,0.0017996699999999997,8.000000000021878e-7,0.0017988699999999976,4,17,CC_DChg,8,arbin,2021-04-21T17:37:50.413100000
288,1413626,35034,0.9694066,-0.1999998,-0.19388112611868,0.0019458399999999938,6.89999999997637e-7,0.0019451499999999962,0.0020742499999999997,8.000000000021878e-7,0.0020734499999999975,4,17,CC_DChg,8,arbin,2021-04-21T17:37:55.417000000
289,1418629,40037,0.9421744,-0.2000004,-0.18843525686975998,0.002224529999999999,6.89999999997637e-7,0.0022238400000000012,0.0023405300000000004,8.000000000021878e-7,0.002339729999999998,4,17,CC_DChg,8,arbin,2021-04-21T17:38:00.419600000
